x_mm,y_mm,z_mm,anchor_5pct,anchor_10pct
-23.87205834901654,181.2986884221516,-246.76059153352435,0,0
-24.318067201687448,180.65081751860785,-247.82805892752768,0,0
-24.454750484881643,180.3957247137388,-248.0871006030373,0,0
-24.5506052852,179.955712858,-247.956077029,0,0
-24.22009109488754,180.98706195884603,-248.02451707527365,0,1
-24.33731600064262,180.7773364192332,-248.19933770594287,0,0
-24.2004786313,181.126365204,-248.300793514,0,0
-19.56710398371173,185.98480999196727,-248.8336101740205,0,0
-20.08150257905257,185.63897675534707,-248.84585280754013,0,0
-20.506630424836093,185.3883549054805,-248.5605121935755,0,0
-19.739688183,185.702890022,-249.522572099,0,0
-20.46917371157869,185.23196206029107,-249.4078588256418,0,1
-20.972659022993323,184.98757149594672,-248.65376331151376,1,0
-21.17551920704485,184.69751914579905,-249.2727272699757,0,0
-21.53929488883116,184.4797248364245,-248.5850820986857,0,0
-22.075999035397505,183.9470277879549,-248.5223692104646,0,0
-22.529146704271533,183.45933068712424,-248.4748102216361,0,1
-22.70178049997487,183.23685334739625,-248.8869517969758,0,0
-22.278267013414304,183.6884683565248,-249.00819677562336,0,0
-21.775086453153595,184.176718140918,-249.137432828694,0,0
-22.89934785695421,183.03270408607744,-248.44024187538864,0,0
-23.20395441341664,182.66430348785545,-248.41567885326063,0,0
-23.061205152556965,182.8245475897356,-248.77515204578623,0,0
-23.368473479317217,182.45139448727,-248.67323517297788,0,0
-23.445739891705767,182.355021311012,-248.398955185011,1,0
-23.627630135450893,182.11203955939263,-248.5797239115575,0,0
-24.03664012755124,181.46463062302715,-248.39785066180536,0,1
-23.84663773845599,181.7903961955476,-248.49000957655625,0,0
-24.2004786313,181.126365204,-248.300793514,0,0
-18.88294890885282,180.1132449381875,-231.88821157581333,1,0
-18.83965095854297,181.2554257408,-232.2098940591385,0,1
-19.134885227091186,179.2449030247145,-232.48087526344443,0,0
-19.11348378526811,177.51750904259677,-232.58447433052265,0,0
-18.979691671297378,182.12253786648176,-233.0756291403916,0,0
-18.58588687879949,183.29528142211183,-232.79398508030343,0,0
-18.025950803100248,183.85542431200008,-231.637319551,0,0
-19.339753224659287,180.51651278654523,-233.333417991626,0,0
-19.500422948117755,178.94261224890585,-233.519293985008,0,0
-19.5959591588952,181.4033066448695,-234.34436235845428,0,0
-19.80150340040036,177.74799409207375,-234.5484130075116,0,0
-19.15763779582277,182.8091421988046,-234.0008055810663,0,0
-19.7468935054222,182.36948833386,-235.2848691488104,0,0
-19.93827864859076,179.62935668973148,-234.7343677828586,0,0
-20.177932869142563,181.0481019872587,-235.6971749558788,0,0
-20.349175435037,178.71036330043356,-235.820523639732,0,0
-20.358449022852906,177.5364951120686,-236.13255676738743,0,0
-20.51227477091581,179.91493407943537,-236.24756467872928,1,0
-20.80248208921904,178.5996072903675,-237.017786509408,0,0
-20.829423685074183,177.5415435794216,-237.3696423822076,0,0
-16.37566281713387,187.89188809615888,-231.95161905200405,0,0
-16.89081096678398,187.1914092197894,-232.52891815642923,0,0
-17.06610006183574,186.2239267441652,-231.53570572447964,1,0
-17.52999884058909,185.95054729746644,-232.67049283393217,0,0
-17.567187942817704,185.1059272520349,-231.62747126536752,0,0
-18.09073923774039,184.77173846178565,-232.87037470257545,0,0
-17.334164797088146,186.81008327898752,-233.42284130803603,0,1
-18.64865041776707,184.32253647068484,-234.0143294422521,0,0
-18.02800477978205,185.8759991435123,-234.17601699183223,1,1
-18.68639133090736,185.14180324802027,-235.15976945430768,0,0
-19.330328963291887,183.90516357680764,-235.5227360333625,0,0
-19.00914216519784,185.1664467496042,-236.2008051476216,0,0
-19.87581993129849,183.371037453526,-236.50217236009664,0,0
-19.554007543653903,184.52581211828,-236.9338246701973,0,0
